Word	Pronunciation	POS	Meaning	Verb Class		Volition status				first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) 				tanmqe/ camgyu 								teptyu (coinage system)					
liinkae	lɪnke	v	camouflage as	4								syb															
liinmkae	lɪnm̩ke	v	camouflage something as	4								t'al															
liinmtsu	lɪnm̩tsu	v	copy; transfer	2								t'uqi		v	1												
liinse	lɪnsɛ	v	match; pair	2								tache															
liintso	lɪntso	v	imitate; copy something	2								telelh															
liinyo	lɪnjo	v	compares to; relates to; is like; akin to (automatic hypothetical; used when comparing clauses; when only nouns use post *liin*)	1								temaq															
likae	like	v	save; deliver; rescue; uplift	4																							
liman	limɑn	v	set apart; anoint; call to a purpose; ordain	4								teqy															
lise	lisɛ	v	be with; accompany (alternatively copula/exist "li" + comitative but has slightly diff connotation (moreso existing alongside))	2								ter															
litsu	litsu	v	save; set apart from use or for a specific use	1								tes															
loikvha	lɔɪkβɑ	v	decorate	3								teth															
lom	lom	v	hug; embrace	1								tex															
lomda	lomdɑ	v	embrace; accept (especially something that affects your life)	4								texiv															
lona	lonɑ	v	to show expressions of love; to express love (used when saying 'love you')	1								texvi															
lona'en	lonɑʔɛn	v	fall in love; enamored	1																							
lonaliinyo	lonɑlɪnjo	v	to love as your own (usually associated with as a family member; esp child)	1								tgan															
lonapse	lonɑpsɛ	v	feeling conflicted whether your feelings are platonic or romantic	2																							
lonayo	lonɑjo	v	love	1								tikro															
lu'ise	luʔisɛ	v	plant	2								tio'ae															
luthyo	luθjo	v	root; take root	1								tiop															
luvhse	luβsɛ	v	write (also remse)	2								tiyna															
lynse	lənsɛ	v	close; shut; bar 	2								tkor															
lyuskae	ʎuske	v	break; shatter (something)	4																							
lyuslak	ʎuslɑk	v	break; shatter (patient focus)	4																							
madjyo	mɑdʒʲo	v	discuss; debate	1								tle															
maeuvha	meuβɑ	v	rue; bitterly regret; mourn (almost related to ma aeuvvha or burning too bright)	3								toa															
maeuyo	meujo	v	regret	1																							
mangkae	mɑŋgke	v	carve something	4																							
mangse	mɑŋgsɛ	v	carve; cut	2																							
mani	mɑni	v	circle; spiral; twirl; walk around	1								tom															
manise	mɑnisɛ	v	swirl; twirl; spiral; spin something around	2								toya															
maqetonkae	mɑqɛtonke	v	explode (actor focus); lit. fire-rattle-sound.out	4																							
maqetonlak	mɑqɛtonlɑk	v	explode (patient focus) 	4								toyot															
masekae	mɑsɛke	v	wash	4																							
mbae	m̩be	v	divide (used in equations)	1																							
mbae'en	m̩beʔɛn	v	to be unsure; undecided (also mbaena; else cyfosh or apfosh)	1								tres															
mbaekae	m̩beke	v	divide; separate; cut or split in two (actor focus)	4								phua															
mbaelak	m̩belɑk	v	to split in two (patient focus)	4								tu															
mbaeuse	m̩beusɛ	v	differ	2								tun															
mbautsu	m̩baʊtsu	v	reject; refuse; deny	2								tunge		v	4												
metse	mɛtsɛ	v	fill up	2								uqi		v	1												
metyo	mɛtjo	v	charge (with a current); fill or pervade (with emotion; quality; or concept)	1								ut															
mihse	mihsɛ	v	promise; pledge; vow; commit	2								vaennhel															
miin	mɪn	v	take; get; grab; pick up; subtract/minus (used is equations)	1								van															
miincet	mɪnçet	v	receive	2								van 															
miinm	mɪnm	v	give 	1								veso															
miinmkae	mɪnm̩ke	v	gift (something)	4								wa															
miinmse	mɪnm̩sɛ	v	give; provide (often with charity)	2																							
miinse	mɪnsɛ	v	take away; remove	2																							
miinvha	mɪnβɑ	v	take; grab; steal; pocket; pickpocket	3																							
miisvha	mɪsβɑ	v	melt	3																							
miitakae	mɪtɑke	v	take place of; sacrifice yourself for	4								wam															
miitay	mɪtɑj; mɪtɑə	v	take place of; replace (from take & place down)	1								wekh															
miitayse	mɪtɑjsɛ; mɪtɑəsɛ	v	take place of; steal someone's position	2								wohn															
miohujida	miohuʒidɑ	v	be utterly fulfilled; full of long lasting contentment; be at peace; be home (based off the idea of convex a good feeling in something)	4								wohn															
miyo	mijo	v	chat	1								wont															
miyukyvha	mijukəβɑ	v	improve	3								wonz															
mo'byo	moʔbʲo	v	disappoint	1																							
mokvetsu 	mokvɛtsu	v	to do homework	2																							
monakuyo	monɑkujo	v	feel right at home (home vibes)	1								xaera															
monasayo	monɑsɑjo	v	wanting for home or something you cant describe; having an unknown sadness	1																							
mufa	mufɑ	v	try; attempt (muf- (also mu-) for compounding; ie mufmukae/mumukae = attempt murder)	1								xam															
mufara	mufɑɾɑ	v	stop trying; give up on something	1								xani															
mukae	muke	v	kill; murder	4								xano															
mulak	mulɑk	v	be killed; murdered	4								xecu															
mulge	mulgɛ	v	go into a coma; turn vegetative/brain dead	4								xehmu															
mulvh	mulβ	v	die; be killed (not by a murderer tho)	3								xehn															
muse	musɛ	v	hunt	2								xey															
musn	musn	v	get ready; prepare	1								xi															
musn'en	musnʔɛn	v	brace; hold on	1								xihs															
muvha	muβɑ	v	kill (not murder though; usually inanimate actor)	3								xihsu															
myiibman	mʲɪbmɑn	v	surprise	3								xivi															
nae	ne	v	add	1																							
nak	nɑk	v	sunbathe; sit out in the sun	1																							
nautso	naʊtso	v	matter; be of importance; have significance	2																							
ngase	ŋɑsɛ	v	taste; lick	2								xy															
nie	niɛ	v	land on	1								xyqra		v	1												
nieda	niɛdɑ	v	claim; assert; declare; demand									y															
niekae	niɛke	v	settle; colonize; occupy; inhabit	4								yaer															
niemse	niɛmsɛ	v	settle something down																								
niemtsu	niɛmtsu	v	settle affairs; come to a conclusion									yfe															
niese	niɛsɛ	v	settle or become calm (esp physically)									yfuwa															
nietsu	niɛtsu	v	settle or calm down (emotionally); self regulate	4								yhs															
nievha	niɛβɑ	v	inhabit; dwell; live in/on	1								yhuly															
no'anda	noʔɑndɑ	v	marry	4								yna															
noakae	noɑke	v	cook	4								ynabi		v	1												
noavha	noɑβɑ	v	heat; warm up (usually for cooking)	3								yni															
node	nodɛ	v	wander; travel; journey without a destination	1								yot															
node'en	nodɛʔɛn	v	wander without purpose 	1								yqra															
nodecet	nodɛçɛt	v	migrate; journey	2								yris															
nodekae	nodɛke	v	make pilgrimage	4								z'yth															
nodekirse	nodɛkiɾse	v	caravan; travel with a trade group																								
nodelcet	nodɛlçɛt	v	evacuate	2								zemo															
nodese	nodɛsɛ	v	travel (with a destination)	2																							
nodetso	nodɛtso	v	conclude; come to a conclusion	2																							
nodetyo	nodɛtjo	v	evaluate or assess in order to improve	1																							
nodeyo	nodɛyo	v	ponder; wonder (also vharyo)	2																							
noqyvha 	noqəβɑ	v	persevere; carry through (from weather journey)	3																							
nuar'en	nuɑɾʔɛn	v	vanish; fade out; fade away; desintigrate	1																							
nuarcet	nuɑɾçɛt	v	leave (involuntarily)	2																							
nuarkae	nuɑɾke	v	vanish; teleport out; disappear (esp without a chance of coming back)	2																							
nuarse	nuɑɾsɛ	v	go away; leave	2																							
nuenyo	nuɛnjo	v	conscious	1																							
nuwa	nuwɑ	v	swim	1																							
nuwase	nuwɑsɛ	v	sweep; swish; pull through water or air	2																							
nuwasenae	nuwɑsɛne	v	paddle (often shortened to wasenae)	2																							
nuwavha	nuwɑβɑ	v	sweep with a broom	3																							
nyngcet	nəŋgçɛt	v	starve; go hungry	2																							
nyngtsu	nəŋtsu	v	fast; go without food	2																							
obe	obɛ	v	use; make use of	1																							
obeb	obɛb	v	over-use	1																							
obebak	obɛbɑk	v	break from constant use	4																							
obebse	obɛbsɛ	v	waste	2																							
oda	odɑ	v	command; instruct (usually militarially)	1																							
odam	odɑm	v	obey	1																							
ohe'en	ohɛʔɛn	v	feel (sensation) (don't use as an evidential unless you are actually experiencing it)	1																							
ohenon	ohɛnon	v	feel (emotion)	3																							
ohliinyo	ohlɪɲo	v	feel as; feel like	1																							
ohwe	ohʷɛ; oːwɛ	v	hide (yourself)	1																							
ohwecet	ohʷɛçɛt; oːwɛçɛt	v	lose (something)	2																							
ohweda	ohʷɛdɑ	v	encrypt	4																							
ohwelge	ohʷɛɫɡɛ	v	be encrypted	4																							
ohwelse	ohʷɛlsɛ; oːwɛlsɛ	v	hide (patient focus)	2																							
ohwese	ohʷɛsɛ; oːwɛsɛ	v	hide (something; agent focus)	2																							
ohwetsu	ohʷɛtsu; oːwɛtsu	v	hide; conceal (information)	2																							
okii'en	okɪʔɛn	v	argue	1																							
on	on	v	cup; hold liquid	1																							
owa	owɑ	v	have; own (for concrete objects only; [arbitrarily body instead of mind])	1																							
owa'en	owɑʔɛn	v	have (for abstract stuff)	1																							
owacet	owɑçɛt	v	recieve	2																							
owase	owɑsɛ	v	obtain; get	2																							
pakae	pɑke	v	bend	4																							
pase	pɑsɛ	v	bend over; crouch; stoop	2																							
pasketso	pɑskɛtso	v	thank profusely; thank a lot (from pas and siketso; used like siketso)	2																							
pecet	pɛçɛt	v	owe (uses about dative for thing owed)	2																							
phu	ɸu	v	blow; breathe	1																							
qaut	qaʊt	v	strike; punch; hit; fight	1																							
qautkae	qaʊtke	v	bludgeon; club; bash; to hit with heavy impact	4																							
qautnae	qaʊtne	v	beat; slap (hard and fast; repeated but doesn't last long)	1																							
qe'e	qɛʔɛ	v	rattle; shake; make noise; rustle; whistle; vibrate	1																							
qi'miilvhi	qiʔmɪlβi	v	be made whole; sanctified 	3																							
qi'miise	qiʔmɪsɛ	v	atone for (especially in place of another)	2																							
qi'miivha	qiʔmɪβɑ	v	sanctify; purify	3																							
qiin	qɪn	v	skydive	1																							
qiin'en	qɪnʔɛn	v	fall; free fall	1																							
qiincet	qɪnçɛt	v	trip; fall	2																							
qiinlse	qɪnlsɛ	v	trip; cause to fall	2																							
qiinse	qɪnsɛ	v	dive	2																							
qiit	qɪt	v	fit; put yourself in; get in; go in; enter; walk in	1																							
qiitda	qɪtdɑ	v	force into a situation	4																							
qiitkae	qɪtke	v	force into something	4																							
qiitse	qɪtsɛ	v	fit; put in; place inside	2																							
qiitvha	qɪtβɑ	v	squeeze; squish; shape	3																							
qix	qix	v	wince; cringe (voluntarily for something cringeworthy)	1																							
qix'en	qixʔɛn	v	wince; cringe (invol)	1																							
qup	qup	v	carry	1																							
qws	qʍus	v	rate; evaluate	1																							
r'isse	ɾʔissɛ	v	step	2																							
raxa	ɾɑxɑ	v	continue; resume; keep; go on (when use by itself it refers to previous action; otherwise; it's used as suffix ie etsnraxa - resume speaking to)	1																							
remse	ɾɛmsɛ	v	write (but more for the purpose of something ie. an essay or story)	2																							
renyo	ɾɛnjo	v	dream	1																							
reutso	ɾœtso	v	surpass; overcome; break through	2																							
rha	r̥ɑ	v	rise	1																							
rhivyt 	r̥ivət	v	straighten up; clean up	1																							
rhivytkae 	r̥ivətke	v	maintain	4																							
rhivytse 	r̥ivətsɛ	v	wash; clean	2																							
rhivytvha	r̥ivətβɑ	v	repair; service; fix up; restore; renovate	3																							
rhn	r̥n	v	bathe (rather than washing; this is specifically for relaxation in hot springs)	1																							
rhnang	r̥nɑŋ	v	soothe; make calm	1																							
rhnbyo	r̥nbjo	v	laze; do nothing (lit. over-relax)	1																							
rhnkae	r̥nke	v	heal; cure	4																							
rhnvha	r̥nβɑ	v	stretch to relax and loosen up	3 - culture																							
rhnvhi	r̥nβi	v	massage	3																							
rhnyo	r̥njo	v	relax; calm down; meditiate	1																							
rica	ɾiçɑ	v	measure	1																							
riisak	ɾɪsɑk	v	to clear (up); become clear (often used for weather)	4																							
ruki'en	ɾukiʔɛn	v	shine; glisten; reflect light	1																							
rukujida	ɾukuʒidɑ	v	reverse; flip upsidedown	4																							
ruo'en	ɾuoʔɛn	v	meet (people come to you)	1																							
ruoyo	ɾuojo	v	meet (you go to people)	1																							
saeak	seɑk	v	fall apart; fail; break down (saem(u)- "fail to" based on fail + try)	4																							
saecet	seçɛt	v	crumble (patient)	2																							
saej'en	seʒʔɛn	v	slide; slip	1																							
saejcet	seʒçɛt	v	slip away; go along; get carried away (esp by water or wind sources)	3																							
saejmse	seʒmsɛ	v	carry away (esp for water sources); tumble; roll	3																							
saejmvha	seʒm̩βɑ	v	cut; slice into; incise (in context of person using a tool to cut)																								
saejvha	seʒβɑ	v	cut; slice into; incise (esp in the context of a sharp tool slicing into something)	2																							
saese	sesɛ	v	crumble (agent)	2																							
sau	saʊ	v	boil	1																							
saubcet	saʊbçɛt	v	overflow; flood	2																							
saubvha	saʊbβɑ	v	cover; blanket	3																							
