Entry Word:,Pronunciation,POS,Meaning,Verb Class,,Volition status,,,,first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) ,,,,tanmqe/ camgyu ,,,,,,,,teptyu (coinage system),,,,,
khomani,,n,hurricane (spiral storm),,,,,,,,,,,,,,,,,,,,,,,,
khomb,,n,cheese,,,,,,,,,,,,,,,,,,,,,,,,
khonoa,kʰonoɑ,n,heat wave,weather,,,,,,,,,,,,,,,,,,,,,,,
khoq,kʰoq,n,storm,weather,,,,,,,,,,,,,,,,,,,,,,,
khoqbai,kʰoqbai,n,tornado (circle storm),weather,,,,,,,,,,,,,,,,,,,,,,,
khoqlen,kʰoqlɛn,n,rain storm,weather,,,,,,,,,,,,,,,,,,,,,,,
khoqma,kʰoqmɑ,n,fire storm,weather,,,,,,,,,,,,,,,,,,,,,,,
khoqwii,kʰoqwɪ,n,snow storm,weather,,,,,,,,,,,,,,,,,,,,,,,
khosaej,kʰoseʒ,n,sandstorm,weather,,,,,,,,,,,,,,,,,,,,,,,
khotsiin,kʰotsɪn,n,lightning storm (lots of flashes; loud claps of thunder; often wind and rain; right above; very dangerous),weather,,,,,,,,,,,,,,,,,,,,,,,
khotsmaomet,,n,adrenaline from danger,,,,,,,,,,,,,,,,,,,,,,,,
khotsul,kʰotsul,n,cold front,weather,,,,,,,,,,,,,,,,,,,,,,,
khotsyojmaomet,,n,adrenaline from a child being in danger,,,,,,,,,,,,,,,,,,,,,,,,
khov,kʰov,n,cart; wagon,,,,,,,,,,,,,,,,,,,,,,,,
khud,kʰud,n,hole; tear,,,,,,,,,,,,,,,,,,,,,,,,
khup,,n,shirt,,,,,,,,,,,,,,,,,,,,,,,,
khus,kʰus,n,crystal,,,,,,,,,,,,,,,,,,,,,,,,
khusaun,kʰusaʊn,n,jewel; gem,,,,,,,,,,,,,,,,,,,,,,,,
khusmani,kʰusmɑni,n,fractal (crystal spiral),,,,,,,,,,,,,,,,,,,,,,,,
khut,,n,nut,food,,,,,,,,,,,,,,,,,,,,,,,
kiim,kɪm,n,dog,animal,,,,,,,,,,,,,,,,,,,,,,,
kiin,kɪn,n,rust,,,,,,,,,,,,,,,,,,,,,,,,
kiipe,kɪpɛ,n,bowl,&,,,,,,,,,,,,,,,,,,,,,,,
kiis,kɪs,n,frying pan,,,,,,,,,,,,,,,,,,,,,,,,
kiitau,kɪtaʊ,n,baking pan (any metal container used for baking),&,,,,,,,,,,,,,,,,,,,,,,,
kil,kil,n,plant; greenery,plant,,,,,,,,,,,,,,,,,,,,,,,
Kilvel,kilvɛl,n,November (greenery month; cor. w/ may),time,,,,,,,,,,,,,,,,,,,,,,,
kimangjo,,n,relationship,,,,,,,,,,,,,,,,,,,,,,,,
kinhash,kinhɑʃ,n,northern aspen,plant,,,,,,,,,,,,,,,,,,,,,,,
kiri,,n,cherry,food,,,,,,,,,,,,,,,,,,,,,,,
kiribaya,,n,cherry tree,tree,,,,,,,,,,,,,,,,,,,,,,,
kiribeth,,n,cherry blossom,plant,,,,,,,,,,,,,,,,,,,,,,,
kisae,kise,n,jellyfish,animal,,,,,,,,,,,,,,,,,,,,,,,
kisaeana,kiseɑnɑ,n,air jellyfish,animal,,,,,,,,,,,,,,,,,,,,,,,
kith,kiθ,n,big forest; rainforest; jungle,plant,,,,,,,,,,,,,,,,,,,,,,,
kjodi,kʒodi,n,game trap (nonlethal; usually a pitfall; cage; or rope),culture,,,,,,,,,,,,,,,,,,,,,,,
kjon,,n,voice,,,,,,,,,,,,,,,,,,,,,,,,
kjonhido,,n,vocal chords; voice box (glottis),body,,,,,,,,,,,,,,,,,,,,,,,
kois,,n,mischief,,,,,,,,,,,,,,,,,,,,,,,,
komy,komə,n,an attack; assault; especially at night,,,,,,,,,,,,,,,,,,,,,,,,
komycetme ,koməçɛtmɛ,n,mob-mentality,,,,,,,,,,,,,,,,,,,,,,,,
komyka,koməkɑ,n,attacker; assaulter,,,,,,,,,,,,,,,,,,,,,,,,
komyte,komətɛ,n,passion; zeal; single-mindedness,,,,,,,,,,,,,,,,,,,,,,,,
komytsuka ,komətsukɑ,n,interrogator,,,,,,,,,,,,,,,,,,,,,,,,
komytsume ,komətsumɛ,n,interrogation,,,,,,,,,,,,,,,,,,,,,,,,
komytsunjo ,komətsunʒo,n,suspect; suspicious person,*,,,,,,,,,,,,,,,,,,,,,,,
krosoti,kɾosoti,n,bushpig,animal,,,,,,,,,,,,,,,,,,,,,,,
krovh,kɾoβ,n,bush,plant,,,,,,,,,,,,,,,,,,,,,,,
ksae,kse,n,chain,,,,,,,,,,,,,,,,,,,,,,,,
ksam,ksɑm,n,mountain,&,,,,,,,,,,,,,,,,,,,,,,,
ksamyt,ksɑmət,n,mountain range,&,,,,,,,,,,,,,,,,,,,,,,,
ksaxu,ksɑxu,n,lynx,animal,,,,,,,,,,,,,,,,,,,,,,,
kshul,kʃul,n,mirror (thin silver),&,,,,,,,,,,,,,,,,,,,,,,,
kshy'e,kʃəʔɛ,n,a reflection in water (thin rain water),&,,,,,,,,,,,,,,,,,,,,,,,
kshyjo,kʃəʒo,n,thin layer; powder; fine dust (often used with gold dust or imai),&,,,,,,,,,,,,,,,,,,,,,,,
kura,kuɾɑ,n,art; drawings; illustrations; designs; masterpieces,,,,,,,,,,,,,,,,,,,,,,,,
kuraka,,n,artist,,,,,,,,,,,,,,,,,,,,,,,,
kuy,kuə,n,song; melody; more generally music,,,,,,,,,,,,,,,,,,,,,,,,
kuymaomet,,n,pump up music; work out song (lit adrenaline music),,,,,,,,,,,,,,,,,,,,,,,,
kuymui,,n,hymn; psalm,,,,,,,,,,,,,,,,,,,,,,,,
kuyohe,kujohɛ,n,good vibes (lit song emotion),&,,,,,,,,,,,,,,,,,,,,,,,
kuyrhne,,n,calming or relaxing music; ASMR,,,,,,,,,,,,,,,,,,,,,,,,
kuysamona,,n,music that makes you a bit melancholic (often in minor key),,,,,,,,,,,,,,,,,,,,,,,,
kveta,,n,book,,,,,,,,,,,,,,,,,,,,,,,,
kvetheban,,n,book store,,,,,,,,,,,,,,,,,,,,,,,,
kvetka,,n,reader,,,,,,,,,,,,,,,,,,,,,,,,
kveukhmat,kvœkʰmɑt,n,school (library learning),&,,,,,,,,,,,,,,,,,,,,,,,
kveumka,kvœmkɑ,n,teacher; master; -kva = title,culture,,,,,,,,,,,,,,,,,,,,,,,
kveute,kvœtɛ,n,instructions; learnings; teachings,,,,,,,,,,,,,,,,,,,,,,,,
kviliis,kvilɪs,n,Eightday (return day),time*,,,,,,,,,,,,,,,,,,,,,,,
kwli,kʍuli,n,type of dragon deer with fur similar to a qirin,animal&,,,,,,,,,,,,,,,,,,,,,,,
ky'aro,kəʔɑɾo; kjəʔɑɾo,n,"the feeling of ""what the heck am I seeing/reading""",,,,,,,,,,,,,,,,,,,,,,,,
kymn,kəmn,n,aim; goal; cause; reason; purpose,,,,,,,,,,,,,,,,,,,,,,,,
kyoka,kjokɑ,n,fighter; warrior,&,,,,,,,,,,,,,,,,,,,,,,,
kyovhame,kjoβɑmɛ,n,battle; war,&,,,,,,,,,,,,,,,,,,,,,,,
kyvhii,kəβɪ,n,stage play; show; drama (movie),,,,,,,,,,,,,,,,,,,,,,,,
latik,lɑtik,n,molar,body,,,,,,,,,,,,,,,,,,,,,,,
lattali ,lɑttɑli,n,cinnamon roll; something too pure for this world; something you inherently want to protect,culture,,,,,,,,,,,,,,,,,,,,,,,
lebokamba,lɛbokɑmbɑ,n,three-horned cow,,,,,,,,,,,,,,,,,,,,,,,,
len,lɛn,n,rain,weather,,,,,,,,,,,,,,,,,,,,,,,
len'e,lɛnʔɛ,n,rain water,weather,,,,,,,,,,,,,,,,,,,,,,,
lenapasic,lɛnɑpɑsiç,n,The feeling of it raining and you’re inside all cozy (lit relaxed rain),,,,,,,,,,,,,,,,,,,,,,,,
lenme'e,lɛnmɛʔɛ,n,rainy weather,weather,,,,,,,,,,,,,,,,,,,,,,,
lenofu,lɛnofu,n,heavy rain,weather,,,,,,,,,,,,,,,,,,,,,,,
lenro,lɛnɾo,n,rain drops,&,,,,,,,,,,,,,,,,,,,,,,,
Lenvel,lɛnvɛl,n,September (rain month; cor. w/ march),time,,,,,,,,,,,,,,,,,,,,,,,
leon,,n,lobster,animal,,,,,,,,,,,,,,,,,,,,,,,
leqe,lɛqɛ,n,harvest,,,,,,,,,,,,,,,,,,,,,,,,
Leqvel,lɛqvɛl,n,February (harvest month; cor. w/ august),time,,,,,,,,,,,,,,,,,,,,,,,
leul,lœl,n,invasion force; invading army,,,,,,,,,,,,,,,,,,,,,,,,
leun,lœn,n,planet,,,,,,,,,,,,,,,,,,,,,,,,
leun'aro,lœnʔɑɾo,n,planet; sphere; strange world; the unknown,,,,,,,,,,,,,,,,,,,,,,,,
levhka,,n,drawer; painter,,,,,,,,,,,,,,,,,,,,,,,,
li ,li,n,wall,,,,,,,,,,,,,,,,,,,,,,,,
li'e,liʔɛ,n,shield (rain wall),*,,,,,,,,,,,,,,,,,,,,,,,
li'ehe,,n,roof (rain shield),,,,,,,,,,,,,,,,,,,,,,,,
li'enak,liʔɛnɑk,n,lizard (lit. sunbathing shield (shield often refers to scales)),animal*,,,,,,,,,,,,,,,,,,,,,,,
li'euj(o),,n,rot (often shortened to 'euj),,,,,,,,,,,,,,,,,,,,,,,,
libi,libi,n,zucchini,food,,,,,,,,,,,,,,,,,,,,,,,
liis(n),lɪs(n),n,day,time,,,,,,,,,,,,,,,,,,,,,,,
liisnesa,lɪsnɛsɑ,n,birthday (beginning day),,,,,,,,,,,,,,,,,,,,,,,,
liistama,lɪstɑmɑ,n,time of day; daytime ,time*,,,,,,,,,,,,,,,,,,,,,,,
lij,liʒ,n,mint,food,,,,,,,,,,,,,,,,,,,,,,,
likhud,likʰud,n,gate (wall hole),,,,,,,,,,,,,,,,,,,,,,,,
lili'e,,n,shield wall (military tactic),,,,,,,,,,,,,,,,,,,,,,,,
liyaud,lijaʊd,n,fortifications; city wall,,,,,,,,,,,,,,,,,,,,,,,,
lo,lo,n,empathy,,,,,,,,,,,,,,,,,,,,,,,,
loikrae,,n,decoration; decor,,,,,,,,,,,,,,,,,,,,,,,,
lojet,loʒɛt,n,master; mistress; nobility; -je = title,culture,,,,,,,,,,,,,,,,,,,,,,,
lom,lom,n,hug,,,,,,,,,,,,,,,,,,,,,,,,
lonate,lonɑtɛ,n,love (also just lona),&,,,,,,,,,,,,,,,,,,,,,,,
lonyeu,,n,love poem,,,,,,,,,,,,,,,,,,,,,,,,
lu'i,luʔi,n,produce; edible plants,food,,,,,,,,,,,,,,,,,,,,,,,
lu'ija,,n,salad,food,,,,,,,,,,,,,,,,,,,,,,,
lumeki,lumɛki,n,vegetable (green produce),food,,,,,,,,,,,,,,,,,,,,,,,
lungw,,n,uvula; back of the throat (uvular),body,,,,,,,,,,,,,,,,,,,,,,,
luth,,n,root,plant,,,,,,,,,,,,,,,,,,,,,,,
luthukii,,n,tooth bed; alveolar ridge (alveolar),body,,,,,,,,,,,,,,,,,,,,,,,
Luvhte Tenyeo,luβtɛ tɛnjɛo,n,koiwrit; calligraphy (writing skilled); also called Luvhten; Luvhyeo; or Luvvhu,culture,,,,,,,,,,,,,,,,,,,,,,,
lyeusn,,n,comet (lit. star dragon; also called tkalyun),,,,,,,,,,,,,,,,,,,,,,,,
lyun,,n,star,,,,,,,,,,,,,,,,,,,,,,,,
lyunyt,,n,constellation,,,,,,,,,,,,,,,,,,,,,,,,
lyusfe,ljusfɛ,n,blast of air; wind burst; gust; fluky wind,,,,,,,,,,,,,,,,,,,,,,,,
ma,mɑ,n,fire,,,,,,,,,,,,,,,,,,,,,,,,
ma,mɑ,n,energy,&,,,,,,,,,,,,,,,,,,,,,,,
madj,mɑdʒ,n,information; data,,,,,,,,,,,,,,,,,,,,,,,,
mae,me,n,girl (underage),,,,,,,,,,,,,,,,,,,,,,,,
maein,mein,n,flour (often rice; but also often wheat),&food,,,,,,,,,,,,,,,,,,,,,,,
maeindir,meindiɾ,n,mill,,,,,,,,,,,,,,,,,,,,,,,,
maeu,,n,remorse,,,,,,,,,,,,,,,,,,,,,,,,
mai,mai,n,heart,body,,,,,,,,,,,,,,,,,,,,,,,
makhov,mɑkʰov,n,train (fire wagon),,,,,,,,,,,,,,,,,,,,,,,,
makhsho,mɑkʰʃo,n,train conductor/ captain,,,,,,,,,,,,,,,,,,,,,,,,
makrovh,mɑkɾoβ,n,fire bush,plant,,,,,,,,,,,,,,,,,,,,,,,
manaj,mɑnɑʒ,n,cheek,body,,,,,,,,,,,,,,,,,,,,,,,
mang,,n,carving,,,,,,,,,,,,,,,,,,,,,,,,
mangka,,n,cutter; carver; mason (person),,,,,,,,,,,,,,,,,,,,,,,,
mangno,,n,cutter; chisel; carving knife,,,,,,,,,,,,,,,,,,,,,,,,
mangtheka,,n,wood cutter; carpenter,,,,,,,,,,,,,,,,,,,,,,,,
mangtheno,,n,wood carving tools,,,,,,,,,,,,,,,,,,,,,,,,
mani,,n,swirl; spiral,,,,,,,,,,,,,,,,,,,,,,,,
manika,mɑnikɑ,n,the watch; guard,,,,,,,,,,,,,,,,,,,,,,,,
maohe,maʊhɛ,n,emotional tension,&,,,,,,,,,,,,,,,,,,,,,,,
maohetosaukhae,maʊhɛtosaʊkʰe,n,the emotional energy that comes from listening to the sound of boiling water,&,,,,,,,,,,,,,,,,,,,,,,,
maomet,,n,adrenaline (from fill with emotional tension),,,,,,,,,,,,,,,,,,,,,,,,
maqeton,mɑqɛton,n,explosion,&,,,,,,,,,,,,,,,,,,,,,,,
maqetonauri,mɑqɛtonaʊɾi,n,fireworks (festival explosion),,,,,,,,,,,,,,,,,,,,,,,,
maqetonkha,mɑqɛtonkʰɑ,n,landmine,&,,,,,,,,,,,,,,,,,,,,,,,
maqetonwyn,mɑqɛtonwən,n,explosion rune,culture&,,,,,,,,,,,,,,,,,,,,,,,
maqfe,,n,windward,,,,,,,,,,,,,,,,,,,,,,,,
maqoxo,,n,phoenix (lit fire feather),animal,,,,,,,,,,,,,,,,,,,,,,,
masiik,,n,bathroom; restroom; lavatory (wash room),,,,,,,,,,,,,,,,,,,,,,,,
mat,mɑt,n,library (often associated with temples/churches; and used as places to care for needy in community),culture&,,,,,,,,,,,,,,,,,,,,,,,
mauu,maʊu,n,wolf,animal&,,,,,,,,,,,,,,,,,,,,,,,
mav,mɑv,n,eyebrows,body,,,,,,,,,,,,,,,,,,,,,,,
mavhe,mɑβɛ,n,spear,,,,,,,,,,,,,,,,,,,,,,,,
mavhka,mɑβkɑ,n,spearman,*,,,,,,,,,,,,,,,,,,,,,,,
mavzi,mɑvzi,n,an eyebrow,body,,,,,,,,,,,,,,,,,,,,,,,
mbaeme,mbemɛ,n,division,,,,,,,,,,,,,,,,,,,,,,,,
mbaeno,,n,axe; splitter,,,,,,,,,,,,,,,,,,,,,,,,
mbaete,mbetɛ,n,pass; strait; divide,&,,,,,,,,,,,,,,,,,,,,,,,
mbaetheka,,n,lumberjack; woods plitter,,,,,,,,,,,,,,,,,,,,,,,,
mbaetheno,,n,saw (wood splitter),,,,,,,,,,,,,,,,,,,,,,,,
mbe,mbɛ,n,mouth ,body,,,,,,,,,,,,,,,,,,,,,,,
mbys,mbəs,n,morning,time,,,,,,,,,,,,,,,,,,,,,,,
me'e,mɛʔɛ,n,weather,weather,,,,,,,,,,,,,,,,,,,,,,,
mekiniik,,n,cactus (lit green spine),plant,,,,,,,,,,,,,,,,,,,,,,,
meu,mœ,n,clouds,weather,,,,,,,,,,,,,,,,,,,,,,,
meuben,,n,air ship (lit. cloud ship),,,,,,,,,,,,,,,,,,,,,,,,
meume'e,mœmɛʔɛ,n,cloudy weather,weather,,,,,,,,,,,,,,,,,,,,,,,
meun,mœn,n,east,direction,,,,,,,,,,,,,,,,,,,,,,,
meut,,n,owl,animal,,,,,,,,,,,,,,,,,,,,,,,
midanu,,n,best friend,family,,,,,,,,,,,,,,,,,,,,,,,
mien,miɛn,n,pearl,,,,,,,,,,,,,,,,,,,,,,,,
miinme,mɪnmɛ,n,subtraction,,,,,,,,,,,,,,,,,,,,,,,,
miitaka,,n,tragic hero (usually one who sacrifices themselves for others),,,,,,,,,,,,,,,,,,,,,,,,
miitakaeyojmoitohe,,n,feeling of willingness to sacrifice your life for your child,,,,,,,,,,,,,,,,,,,,,,,,
mikil,mikil,n,medicine; medicinal herbs,,,,,,,,,,,,,,,,,,,,,,,,
mikilka,mikilkɑ,n,doctor,,,,,,,,,,,,,,,,,,,,,,,,
mikilnaec,mikilneç,n,hospital,,,,,,,,,,,,,,,,,,,,,,,,
mil,,n,cream,food,,,,,,,,,,,,,,,,,,,,,,,
miyaen,mijen,n,good mood; happy and relaxed state; chill,&,,,,,,,,,,,,,,,,,,,,,,,
moi,,n,will; volition; intent,,,,,,,,,,,,,,,,,,,,,,,,
moite,,n,willingness,,,,,,,,,,,,,,,,,,,,,,,,
mojg,moʒg,n,hooves,body,,,,,,,,,,,,,,,,,,,,,,,
mona,monɑ,n,home,family,,,,,,,,,,,,,,,,,,,,,,,
monakuyohe,,n,home vibes,1,,,,,,,,,,,,,,,,,,,,,,,
monamiik,,n,perfect (complete) home (not necessarily perfect as in ideal; just what you need),,,,,,,,,,,,,,,,,,,,,,,,
monarhivytte,,n,a clean and well kept home,,,,,,,,,,,,,,,,,,,,,,,,
mukaeka,mukekɑ,n,murderer,,,,,,,,,,,,,,,,,,,,,,,,
mukufe,,n,downwind,,,,,,,,,,,,,,,,,,,,,,,,
mul,mul,n,death,,,,,,,,,,,,,,,,,,,,,,,,
Mul Qat,mul qɑt,n,Death; grim reaper,name,,,,,,,,,,,,,,,,,,,,,,,
musn,musn,n,delight,,,,,,,,,,,,,,,,,,,,,,,,
myauci,mjaʊçi,n,cookie,food&,,,,,,,,,,,,,,,,,,,,,,,
mybi,məbi,n,mama; mom (when addressing),family*,,,,,,,,,,,,,,,,,,,,,,,
mychoiokkingohe,,n,the delicate feeling of another person's touch (from good touch another person intimate feeling or mi-chome-iovi-kaun-kimang-ohe),,,,,,,,,,,,,,,,,,,,,,,,
myiib,,n,surprise,,,,,,,,,,,,,,,,,,,,,,,,
myu,,n,turtle,animal,,,,,,,,,,,,,,,,,,,,,,,
myvh,məβ,n,mother (used with demonstrative pronoun ie. my mom),family,,,,,,,,,,,,,,,,,,,,,,,
naec,neç,n,house,,,,,,,,,,,,,,,,,,,,,,,,
naecamba,,n,stable; barn (lit. cow house),,,,,,,,,,,,,,,,,,,,,,,,
naeme,nemɛ,n,addition,,,,,,,,,,,,,,,,,,,,,,,,
naeyu,neju,n,octopus,animal,,,,,,,,,,,,,,,,,,,,,,,
naeyuchae,nejutʃe,n,argonaut (shell-octopus),animal,,,,,,,,,,,,,,,,,,,,,,,
nagu,,n,sheep,,,,,,,,,,,,,,,,,,,,,,,,
nai,,n,fruit,food,,,,,,,,,,,,,,,,,,,,,,,
nairiis,,n,white currant (lit pale fruit),food,,,,,,,,,,,,,,,,,,,,,,,
nakh,nɑkʰ,n,arm; also meter; yard,,,,,,,,,,,,,,,,,,,,,,,,
nammil,,n,yogurt (from fruit cream),food,,,,,,,,,,,,,,,,,,,,,,,
nara,nɑɾɑ,n,monkey,animal,,,,,,,,,,,,,,,,,,,,,,,
ndu,ndu,n,egg,&food,,,,,,,,,,,,,,,,,,,,,,,
nete,,n,cap; hat,,,,,,,,,,,,,,,,,,,,,,,,
ngos,,n,scales,,,,,,,,,,,,,,,,,,,,,,,,
niikksam,,n,needle mountains,,,,,,,,,,,,,,,,,,,,,,,,
niiphai,nɪɸai,n,meat; flesh,,,,,,,,,,,,,,,,,,,,,,,,
nilo,nilo,n,ball,,,,,,,,,,,,,,,,,,,,,,,,
nmu'u,nmuʔu,n,mind; brain,body,,,,,,,,,,,,,,,,,,,,,,,
nmuth,nmuθ,n,table,,,,,,,,,,,,,,,,,,,,,,,,
no'an,,n,wedding; marriage,,,,,,,,,,,,,,,,,,,,,,,,
no'anliis,,n,wedding day,,,,,,,,,,,,,,,,,,,,,,,,
noa,noɑ,n,heat,weather,,,,,,,,,,,,,,,,,,,,,,,
II'noaua,,n,Small summer (every 10 yrs),time,,,,,,,,,,,,,,,,,,,,,,,
Noaua,noɑdə,n,Long summer ,time,,,,,,,,,,,,,,,,,,,,,,,
noaliis,noɑlɪs,n,hot day; summer day,,,,,,,,,,,,,,,,,,,,,,,,
noame'e,noɑmɛʔɛ,n,summer weather,weather,,,,,,,,,,,,,,,,,,,,,,,
nobae,nobe,n,salt water,&,,,,,,,,,,,,,,,,,,,,,,,
nobi,nobi,n,salt,&,,,,,,,,,,,,,,,,,,,,,,,
nodeka,nodɛkɑ,n,traveler; wanderer,,,,,,,,,,,,,,,,,,,,,,,,
nodel,nodɛl,n,prayer (from personal-journey),&,,,,,,,,,,,,,,,,,,,,,,,
nodete,nodɛtɛ,n,journey; usually for the purpose of soul searching or self discovery; pilgramage,&,,,,,,,,,,,,,,,,,,,,,,,
nodetel,nodɛtɛl,n,self-evaluation/assessment (from personal-journey) ,&,,,,,,,,,,,,,,,,,,,,,,,
nonai,nonai,n,amber,,,,,,,,,,,,,,,,,,,,,,,,
nonaiun,nonaiun,n,amber color,color,,,,,,,,,,,,,,,,,,,,,,,
nothon,noθon,n,option,&,,,,,,,,,,,,,,,,,,,,,,,
nreuc,nɾœç,n,bad feeling; ill omen,,,,,,,,,,,,,,,,,,,,,,,,
nto,,n,point,,,,,,,,,,,,,,,,,,,,,,,,
nton,nton,n,south,direction,,,,,,,,,,,,,,,,,,,,,,,
ntonat,ntonɑt,n,South Pole (far south),direction,,,,,,,,,,,,,,,,,,,,,,,
Ntonikh,ntonikʰ,n,Southern Ice,,,,,,,,,,,,,,,,,,,,,,,,
nuc'e,nuçʔɛ,n,beach; shore,,,,,,,,,,,,,,,,,,,,,,,,
nue,nuɛ,n,psyche; soul; spirit; mind; personality (thing that makes you you),,,,,,,,,,,,,,,,,,,,,,,,
nuenu,nuɛnu,n,consciousness,,,,,,,,,,,,,,,,,,,,,,,,
nusjo,,n,silence,,,,,,,,,,,,,,,,,,,,,,,,
nyng,nəŋg,n,hunger; physical need for something,,,,,,,,,,,,,,,,,,,,,,,,
o'enna,oʔɛnnɑ,n,beginning; start of,,,,,,,,,,,,,,,,,,,,,,,,
obebme,obɛbmɛ,n,waste; trash,,,,,,,,,,,,,,,,,,,,,,,,
ochun,oʧun,n,frown,,,,,,,,,,,,,,,,,,,,,,,,
oda,odɑ,n,commander; military officer,,,,,,,,,,,,,,,,,,,,,,,,
ofusna,ofusnɑ,n,immortality,,,,,,,,,,,,,,,,,,,,,,,,
ohe,ohɛ,n,emotion; feeling,&,,,,,,,,,,,,,,,,,,,,,,,
ohen,ohɛn,n,feeling; sensation,,,,,,,,,,,,,,,,,,,,,,,,
ohi,,n,butterfly,,,,,,,,,,,,,,,,,,,,,,,,
ohku,,n,rudder,,,,,,,,,,,,,,,,,,,,,,,,
ohweme,ohʷɛmɛ; oːwɛmɛ,n,hidden thing; secret,,,,,,,,,,,,,,,,,,,,,,,,
Oitje,,n,earth deity (connected to a myth of the sun in a pot; forms the basis of practice of spirit jars),,,,,,,,,,,,,,,,,,,,,,,,
ojg,oʒg,n,bark,,,,,,,,,,,,,,,,,,,,,,,,
okamba,okɑmbɑ,n,ox (horned cow),,,,,,,,,,,,,,,,,,,,,,,,
okjo,okʒo,n,horn,,,,,,,,,,,,,,,,,,,,,,,,
okli'enak,okliʔɛnɑk,n,horned lizard,,,,,,,,,,,,,,,,,,,,,,,,
oncu,onçu,n,measurement (based on cup),,,,,,,,,,,,,,,,,,,,,,,,
onden,ondɛn,n,measurement (based on seasoning to taste; a dash/pinch of something),,,,,,,,,,,,,,,,,,,,,,,,
oneu,onœ,n,spoon,,,,,,,,,,,,,,,,,,,,,,,,
onmu,onmu,n,measurement (based on tablespoon),,,,,,,,,,,,,,,,,,,,,,,,
onoa,onoɑ,n,woman; wife; adult woman; -noa = Mrs.,culture,,,,,,,,,,,,,,,,,,,,,,,
onoe,onoɛ,n,man; husband; adult man; -noe = mr.,culture,,,,,,,,,,,,,,,,,,,,,,,
onso,onso,n,measurement (based on teaspoon),,,,,,,,,,,,,,,,,,,,,,,,
pad,pɑd,n,door,,,,,,,,,,,,,,,,,,,,,,,,
paija,paiʒɑ,n,ingredient (from paya + ja),&,,,,,,,,,,,,,,,,,,,,,,,
paikeb,paikɛb,n,batter (paija + ukeb),food&,,,,,,,,,,,,,,,,,,,,,,,
paikekiis,paikɛkɪs,n,pancake,,,,,,,,,,,,,,,,,,,,,,,,
paikendu,paikɛndu,n,egg batter,food&,,,,,,,,,,,,,,,,,,,,,,,
paj,,n,squash,food,,,,,,,,,,,,,,,,,,,,,,,
pajwly,,n,squash flower,plant,,,,,,,,,,,,,,,,,,,,,,,
pang,pɑŋg,n,net,,,,,,,,,,,,,,,,,,,,,,,,
paq,pɑq,n,nation; country; homeland,,,,,,,,,,,,,,,,,,,,,,,,
paqli,pɑqli,n,country boarder (nation wall),,,,,,,,,,,,,,,,,,,,,,,,
paya,pɑjɑ,n,food,food&*,,,,,,,,,,,,,,,,,,,,,,,
payan,pɑjɑn,n,plum ,food,,,,,,,,,,,,,,,,,,,,,,,
payanaec,pɑjɑneç,n,restaurant,,,,,,,,,,,,,,,,,,,,,,,,
payannaec,pɑjɑnneç,n,plum house,,,,,,,,,,,,,,,,,,,,,,,,
payauri,,n,feast; festival food,culture,,,,,,,,,,,,,,,,,,,,,,,
pe,,n,tough,,,,,,,,,,,,,,,,,,,,,,,,
peng,,n,water bag/bottle,,,,,,,,,,,,,,,,,,,,,,,,
phakhi,,n,arrow,,,,,,,,,,,,,,,,,,,,,,,,
phalet,ɸɑlɛt,n,bigger picture; life plan; destiny; purpose of life,*,,,,,,,,,,,,,,,,,,,,,,,
phekhod,ɸɛkʰod,n,paper mache (paper hole),,,,,,,,,,,,,,,,,,,,,,,,
phu,ɸu,n,air,,,,,,,,,,,,,,,,,,,,,,,,
phu'a,fuʔɑ,n,breath,,,,,,,,,,,,,,,,,,,,,,,,
phun,ɸun,n,trout ,animal,,,,,,,,,,,,,,,,,,,,,,,
phurub,ɸuɾub,n,bubble,&,,,,,,,,,,,,,,,,,,,,,,,
po,po,n,back,body,,,,,,,,,,,,,,,,,,,,,,,
pyae,,n,nose,body,,,,,,,,,,,,,,,,,,,,,,,
pyano,pjɑno,n,piano,,,,,,,,,,,,,,,,,,,,,,,,
pykhod,,n,nostril,body,,,,,,,,,,,,,,,,,,,,,,,
qais,qais,n,clock,,,,,,,,,,,,,,,,,,,,,,,,
qateno,qɑtɛno,n,monster (dehumanized form of teno; household deity; malicious ghost or one that's lost their sanity),animal&,,,,,,,,,,,,,,,,,,,,,,,
qautme,qaʊtmɛ,n,fight,&,,,,,,,,,,,,,,,,,,,,,,,
qe'etiip,qɛʔɛtɪp,n,frog (rattle ears),animal,,,,,,,,,,,,,,,,,,,,,,,
qi'mang,,n,cure; tonic; medicine; method of healing (from make whole),,,,,,,,,,,,,,,,,,,,,,,,
qii,qɪ,n,grassland (usually near a river),&,,,,,,,,,,,,,,,,,,,,,,,
qii'a,qɪʔɑ,n,meadow (little grassland),&,,,,,,,,,,,,,,,,,,,,,,,
qiin'e,qɪnʔɛ,n,waterfall ,,,,,,,,,,,,,,,,,,,,,,,,
qiinaetel,qɪnetɛl,n,streamfall; water spout; faucet/pumped water,,,,,,,,,,,,,,,,,,,,,,,,
qiinoa,qɪnoɑ,n,savannah,landscape,,,,,,,,,,,,,,,,,,,,,,,
qoa,qoɑ,n,gold,,,,,,,,,,,,,,,,,,,,,,,,
qom,qom,n,bone,,,,,,,,,,,,,,,,,,,,,,,,
qoxo,,n,feather,,,,,,,,,,,,,,,,,,,,,,,,
